wavelength	Warm LED	Cool LED	HMI	Xenon
526	1.77272727272727000	1.0631578947368400	0.9227799227799230	0.9943181818181820
528	1.77272727272727000	1.0719298245614000	0.9703989703989700	1.0056818181818200
530	1.74545454545455000	1.0771929824561400	0.9961389961389960	1.0170454545454500
532	1.69090909090909000	1.0789473684210500	0.9897039897039900	1.0170454545454500
534	1.62727272727273000	1.0754385964912300	0.9485199485199490	1.0227272727272700
536	1.57272727272727000	1.0736842105263200	0.9189189189189190	1.0227272727272700
538	1.54545454545455000	1.0771929824561400	0.9395109395109390	1.0340909090909100
540	1.52727272727273000	1.0684210526315800	0.9794079794079790	1.0340909090909100
542	1.50909090909091000	1.0614035087719300	1.1866151866151900	1.0284090909090900
544	1.49090909090909000	1.0596491228070200	1.6473616473616500	1.0397727272727300
546	1.42727272727273000	1.0526315789473700	1.8018018018018000	1.0340909090909100
548	1.33636363636364000	1.0438596491228100	1.7117117117117100	1.0284090909090900
550	1.24545454545455000	1.0403508771929800	1.2998712998713000	1.0227272727272700
552	1.15454545454545000	1.0280701754386000	1.0012870012870000	1.0170454545454500
554	1.09090909090909000	1.0228070175438600	0.9691119691119690	1.0113636363636400
556	1.05454545454545000	1.0140350877193000	0.9613899613899620	1.0056818181818200
558	1.01818181818182000	1.0105263157894700	0.9652509652509650	1.0056818181818200
560	1.00000000000000000	1.0000000000000000	1.0000000000000000	1.0000000000000000
562	0.98181818181818200	0.9947368421052630	1.0952380952381000	0.9943181818181820
564	0.97272727272727300	0.9859649122807020	1.1673101673101700	0.9829545454545450
566	0.98181818181818200	0.9824561403508770	1.2084942084942100	0.9886363636363640
568	0.99090909090909100	0.9771929824561400	1.1840411840411800	0.9829545454545450
570	1.00909090909091000	0.9701754385964910	1.1595881595881600	0.9772727272727270
572	1.05454545454545000	0.9701754385964910	1.1943371943371900	0.9829545454545450
574	1.11818181818182000	0.9649122807017540	1.4157014157014200	0.9772727272727270
576	1.20000000000000000	0.9614035087719300	1.6216216216216200	0.9772727272727270
578	1.30909090909091000	0.9596491228070180	1.6731016731016700	0.9829545454545450
580	1.44545454545455000	0.9561403508771930	1.5057915057915100	0.9772727272727270
582	1.62727272727273000	0.9508771929824560	1.2831402831402800	0.9829545454545450
584	1.87272727272727000	0.9473684210526320	1.1415701415701400	0.9829545454545450
586	2.19090909090909000	0.9473684210526320	1.1943371943371900	0.9943181818181820
588	2.51818181818182000	0.9526315789473680	1.2509652509652500	1.0000000000000000
590	2.81818181818182000	0.9508771929824560	1.2522522522522500	1.0056818181818200
592	2.99090909090909000	0.9456140350877190	1.2123552123552100	1.0113636363636400
594	3.00000000000000000	0.9473684210526320	1.1994851994852000	1.0170454545454500
596	2.78181818181818000	0.9491228070175440	1.2625482625482600	1.0284090909090900
598	2.39090909090909000	0.9421052631578950	1.2998712998713000	1.0340909090909100
600	2.01818181818182000	0.9403508771929830	1.2496782496782500	1.0397727272727300
602	1.72727272727273000	0.9403508771929830	1.1467181467181500	1.0511363636363600
604	1.51818181818182000	0.9350877192982460	1.0643500643500600	1.0568181818181800
606	1.42727272727273000	0.9403508771929830	1.0656370656370700	1.0625000000000000
608	1.43636363636364000	0.9421052631578950	1.0926640926640900	1.0738636363636400
610	1.52727272727273000	0.9385964912280700	1.0913770913770900	1.0795454545454500
612	1.64545454545455000	0.9421052631578950	1.0797940797940800	1.0795454545454500
614	1.77272727272727000	0.9403508771929830	1.0643500643500600	1.0738636363636400
616	1.93636363636364000	0.9403508771929830	1.0540540540540500	1.0738636363636400
618	2.20000000000000000	0.9421052631578950	1.0489060489060500	1.0681818181818200
620	2.52727272727273000	0.9403508771929830	1.0077220077220100	1.0568181818181800
622	2.95454545454545000	0.9368421052631580	1.0064350064350100	1.0397727272727300
624	3.39090909090909000	0.9315789473684210	1.0180180180180200	1.0227272727272700
626	3.75454545454545000	0.9280701754385970	0.9948519948519950	1.0113636363636400
628	3.93636363636364000	0.9263157894736840	0.9356499356499360	0.9943181818181820
630	3.81818181818182000	0.9228070175438600	0.8712998712998710	0.9772727272727270
632	3.38181818181818000	0.9157894736842110	0.8391248391248390	0.9602272727272730
634	2.74545454545455000	0.9105263157894740	0.8352638352638350	0.9375000000000000
636	2.04545454545455000	0.9017543859649120	0.8442728442728440	0.9204545454545450
638	1.53636363636364000	0.8912280701754390	0.8532818532818530	0.8863636363636360
640	1.18181818181818000	0.8859649122807020	0.8712998712998710	0.8636363636363640
642	0.92727272727272700	0.8736842105263160	0.8661518661518660	0.8409090909090910
644	0.74636363636363600	0.8649122807017540	0.8725868725868730	0.8181818181818180
646	0.62545454545454600	0.8561403508771930	0.8545688545688550	0.7897727272727270
648	0.54454545454545500	0.8456140350877190	0.8198198198198200	0.7670454545454550
650	0.47636363636363600	0.8315789473684210	0.7850707850707850	0.7329545454545450
652	0.43727272727272700	0.8192982456140350	0.7670527670527670	0.7159090909090910
654	0.39545454545454500	0.8035087719298250	0.7953667953667950	0.6875000000000000
656	0.37090909090909100	0.7877192982456140	0.8519948519948520	0.6534090909090910
658	0.34636363636363600	0.7684210526315790	0.8777348777348780	0.6306818181818180
660	0.32909090909090900	0.7526315789473680	0.8970398970398970	0.6079545454545450
662	0.31181818181818200	0.7315789473684210	0.8803088803088800	0.5795454545454550
664	0.29636363636363600	0.7070175438596490	0.8622908622908620	0.5596590909090910
666	0.28090909090909100	0.6807017543859650	0.8815958815958820	0.5340909090909090
668	0.26818181818181800	0.6561403508771930	0.9369369369369370	0.5176136363636360
670	0.25545454545454500	0.6280701754385960	0.9703989703989700	0.4931818181818180
672	0.24545454545454500	0.6035087719298250	0.9510939510939510	0.4693181818181820
674	0.23636363636363600	0.5824561403508770	0.8957528957528960	0.4505681818181820
676	0.23000000000000000	0.5666666666666670	0.8095238095238100	0.4250000000000000
678	0.21545454545454500	0.5578947368421050	0.7657657657657660	0.4073863636363640
680	0.20909090909090900	0.5473684210526320	0.7747747747747750	0.3869318181818180
682	0.20181818181818200	0.5368421052631580	0.8314028314028310	0.3727272727272730
684	0.19545454545454500	0.5280701754385970	0.8545688545688550	0.3539772727272730
686	0.19090909090909100	0.5228070175438600	0.8159588159588160	0.3369318181818180
688	0.18090909090909100	0.5175438596491230	0.7361647361647360	0.3193181818181820
690	0.16818181818181800	0.5122807017543860	0.6731016731016730	0.3034090909090910
692	0.15818181818181800	0.5000000000000000	0.6859716859716860	0.3000000000000000
694	0.16090909090909100	0.4877192982456140	0.7516087516087520	0.2761363636363640
696	0.15000000000000000	0.4754385964912280	0.8314028314028310	0.2681818181818180
698	0.14727272727272700	0.4631578947368420	0.8519948519948520	0.2545454545454550
700	0.13818181818181800	0.4508771929824560	0.7696267696267700	0.2431818181818180
702	0.13545454545454500	0.4368421052631580	0.6628056628056630	0.2323863636363640
704	0.13000000000000000	0.4210526315789470	0.5817245817245820	0.2210227272727270
706	0.12727272727272700	0.4105263157894740	0.5122265122265120	0.2113636363636360
708	0.12818181818181800	0.3982456140350880	0.4942084942084940	0.1971590909090910
710	0.11909090909090900	0.3824561403508770	0.4658944658944660	0.1852272727272730
